Tweet_Text,class,polarity
The  protests created an unprecedented awareness in the land and exposed the wickedness of our e ,positive,0.6
Another video evidence. They can't hide everything. Please I beg you retweet!!!!!!,positive,0.0
The  I always knew this would happen  response to the  protests really rankles me,negative,0.2
The narrative has changed. Life is getting back to normal. Is this the end of that once beautiful movement?,negative,0.3333333333333333
"  Police brutality is a feature, not a bug of ALL colonial systems.",negative,0.0
This is not a concert! This is not a political rally!This is not a religious event! This is a gathering of thousands,negative,0.0
I m glad to see that the  movement is coming back in full force. Keep on retweeting this,positive,0.2833333333333333
"  I am going back to tweeting  , if we cannot protest again offline, surely we can keep the online protest going",positive,0.25
I love the energy. You cannot set your house on fire and run ro another man s house to enjoy peace.. ,positive,0.45
Jack didn t customize a logo for our hashtag for us to give up!!!,negative,0.0
The monsters you made.,negative,0.0
found this thread on ig that s rly helpful and informative as to what is happening in Nigeria rn (1/2) ,positive,0.0
Many report have been that they came from this Bonny Camp,neutral,0.4
"  Are you tired?? SARS are back on the streets, let's bring  back to the trend table. Retweet aggressively!!",negative,-0.13333333333333333
Hausa version for my northern brothers,neutral,0.0
Nigerian Airforce sensible humans. I can t love you less,positive,0.16666666666666669
"  If I know you and you are part of the people that looted someone s store. On God, I ll snitch on you without thinking about it",negative,0.0
Have you made a tweet using  today? No? Please do.,neutral,0.0
why aren t you tweeting  ? remember we haven t won the battle yet,neutral,0.0
Protests are still ongoing in different places. The least we can do is amplify  tweets.,positive,-0.15
this is not a trend that dies out rt to raise awareness.,negative,0.0
   The labour of our heroesShall never be in vain     ,positive,0.0
"  Buhari didn't want to negotiate with the intellectuals, now he has to contain the mob he failed to educate.",negative,-0.5
  Omo. I heard the  disbanded  SARS still dey operate. They did not even collect guns from them.,negative,0.0
Candle light in Birmingham for our fallen heroes ...,negative,0.4
Another video of the protest!!!! And y all wanna stop? After several people have died? Nah! We have to,negative,0.0
  I just randomly sigh to myself and think  wow. They really killed people because of a peaceful protest. My heart is so heavy,negative,-0.11000000000000001
"   In order to escape accountability for his crimes, the perpetrator does everything in his power to promote forgetting",negative,0.0
Note how this south African Lady has been lending her voice to the  movement all day and night.Never forget.,negative,0.0
"  SARS still dey extort, harass and Brutalize young people, please let s come together once again to trend  ",negative,0.1
"  World, Nigeria needs us. Peaceful protests have gone tragically violent as authorities have killed Nigerian protesters. ",negative,-0.25
Another Kannywood Star Asks Northerners To Attack  Calls  Protesters Infidels,negative,0.0
"  we definitely can t go back, there s nothing to go back to. we re moving forward ",positive,0.0
"  they re killing our brothers and sisters in zimbabwe, in congo and in nigeria all at the same time bro",negative,0.0
"  We expect the results to begin to reflect in your headlines very soon, like your brother  ",positive,0.2
God knows I wouldn't be tweeting now if people hadn't gather around to save us from a rogue police about to arrest my friend,positive,-0.05
"  SARS officials are still on the road, the battle is not won yet. ",negative,0.0
"  Those who went late to the warehouse couldn t get anything,so they removed the doors,windows and the electricals. ",negative,-0.3
   Violence doesn't discredit the outcome of our elections. Why does it diminish the demands of citizens  Seun Kuti. ,negative,0.0
" Corruption and hypocrisy ought not to be inevitable products of democracy, as they undoubtedly are today.  ",negative,0.0
"  The moment cheated citizens began redistributing palliatives, hoarded by public officials, to the rightful recipients  ",negative,0.0
"  me seeing the  movement, come back to life: ",positive,0.0
"  Forensic analysis of videos showing the  by soldiers on Tuesday has shown them to be authentic, in spite of th ",positive,0.5
"  My good sis   and other Nigerians spoke to  about the  protests, police brutality i ",negative,0.2875
How to write  petition.Follow the thread. The steps are simple.,positive,0.0
My love goes out to   and everywhere in the world that is fighting to change the systems designed to oppres ,positive,0.5
"  Who ordered the shooting of peaceful protesters at Lekki on the 20th of October, 2020? ",neutral,0.125
As we Nigerians are crying for  Pls remember,negative,-0.2
If ppl in abroad are not relenting why will you get tired of retweeting. Oya retweet any  tweet aggressively,positive,-0.4
"  This palliative discoveries across the nation is a strategy to distract Nigerian youth from the main issue on ground, T  ",negative,0.16666666666666666
Una de see? The world will hold us accountable and we will need to answer to them what we re doing with  We can t just ,negative,0.0
Nobody has resigned. Nobody has been sacked. Nobody has been arrested. People were shot in Lekki. People were shot in Suru ,negative,0.0
SARS are back on the street to cause more brutality. Retweet and pass it on,positive,0.25
"We have to unseat that Jubril, let this not be our case ooh    ",negative,0.0
"  For non Yoruba-speaking tweeps, he's basically saying that political elites only see impoverished youths as hired goon ",negative,0.0
One other thing we have to thank  for its the exposure of  This man can NEVER be President.Hear h ,negative,-0.125
"  For the  protests to yield results, prominent celebrities, young Parliamentarians and CSOs should follow up on the ",positive,0.3
I see that you have  as members of your team? Since when did you start working cooking ,positive,0.0
A simple but very strong message!! Retweet when you see it,positive,0.4401041666666667
I just hope that the diversion scheme being played out by the government officials isn't affecting our  movement? ,positive,0.0
"  Tinubu visits Sanwo-Olu, says I didn t go nowhere, I m still Jagaban   Punch Newspapers ",negative,0.0
Who gave the order???? We won t stop asking,negative,0.0
Jack didn't give us  icon just for it to stop trending!!!Y'all fix up,positive,0.0
Nigerians we Cameroonians joined you to say endsars,positive,0.0
"  say hi to the eloquent  this video is extremely informative, PLEASE RETWEET and support her channels. ",positive,-0.125
Video showing soldiers driving to the Lekki toll gate on 20-10-2020 before the,positive,0.0
  Everything about  protests and the aftermath was prophesied.,positive,0.0
Students shot by armed group! Students!!! Africa which way now?? From  in Nigeria to  in Camer ,negative,0.0
"  Swat new uniform get 4 pockets, how dey no go dey collect bribe",negative,0.13636363636363635
Anambra are still sharing their Covid-19 palliatives by themselves. There is so much hunger in Nigeria,negative,0.2
People are still protesting in other states. People are still protesting around the world. For us. We cannot stop amplifyin ,positive,-0.125
Online protest resumed!,positive,0.0
"  PHOTONEWS: Igbotu Residents In Ondo State Join  Protest, Demand Restoration Of Electricity, End To Unemployment",positive,0.0
Warehouse in bukuru jos has been cleared next?????,neutral,0.0
"  Woke up with a heavy heart, thought I'd put my pain on paper.   ",negative,-0.2
We don t have a spare life. Let s make the most of the one we have.,positive,0.5
Come come! did some governors have a meeting and collectively agree not to distribute these palliatives !!!,negative,0.0
The existence of SARS is literally so frustrating,negative,-0.4
"  It was one of the most brutal nights in Nigeria, since the  protests began.",negative,-0.1875
Nigerians in diaspora still pushing the  movement And y'all giving up already?,neutral,0.0
Omo who is this guy on HipTV  He said it was dragons that set properties ablaze and rats did the looting,negative,0.0
I saw this in my estate and I m more than ecstatic. Press their necks!!!! We demand justice for the deaths of our brothers ,positive,1.0
This is why we are where we are today.Simple question: How much is your monthly take home salary.,neutral,0.2
isn t over until all 5for5 demands are completely met and police brutality in Nigeria is ended completely.,positive,0.1
"   Nigerians in Glasgow, Scotland join anti-police brutality rally., denouncing President! ",negative,0.0
Let s wait for them to say this is a big lie againEspecially those excuse of humans paid to discredit heroes,negative,-0.025
My break is over. Back to   we're not done yet. Fight no dey finish with Round One.,negative,-0.1
My Dad literally refused to side with the actual truth of the Lekki massacre till I told my SARS experiences.,negative,0.0
Everyone has a part in the movement. Thank you for letting me share my story about what is taking place in my home,positive,0.0
Maybe the Nigerian government would believe the report of foreign journalists who witnessed the protests,neutral,-0.125
Don t forget!!! Sars is still on  the road,positive,0.0
NTA journalist Jennifer Uloma Igwe got caught up at the Lekki Tollgate when the massacre started.This lady got conscience,positive,0.0
Brace up!!! There will still be missing persons on the streets,negative,-0.2
"  So yeah, it s still  until there are no more reports of police brutality.",neutral,-0.25
What is What is the problem?Why should we take part?,neutral,0.0
is proud to be home of one of the largest Nigerian communities in the country and stands with Nigerians aroun ,positive,0.8
We re back on the streets of Paris demanding justice for our brothers and sisters killed at the Lekki toll! Plus and end to bad governance,positive,-0.3166666666666666
"  We will see unidentifiable policemen bearing arms and we will scream  Ole  and collectively beat them up, Amen?",negative,0.0
"  There's a medical report that proves that she was raped, done by a consultant a day after the rape occurred",negative,0.15
"  SARS are back on the street, this time they're more brutal. Retweet and pass it on ",negative,-0.125
May those who lost their lives during the  Rest In Peace,neutral,0.0
"  Pictures from our  protest today in Gottingen, Germany.We move  ",positive,0.0
"  Who ordered the shooting of peaceful protesters at lekki on the 20th of October,2020???  ",neutral,0.125
Me thinking how I will raise my YDP flag in 2023. I can't wait to be part of the new Nigeria,positive,0.13636363636363635
"  Yesterday I was angry, today I'm twice as angry.  ",negative,-0.5
"  All over the region, violence met peaceful  but because it served your purpose, you let it rage!You wanted to sile ",negative,0.25
would you have wanted us to be quiet if their bullets found you?,negative,0.0
My husband s death has stripped me naked   Widow of suspected  protest victim ,negative,-0.037500000000000006
SARS are back on the road.Absolutely zero win for us,negative,0.4
"  Just so you know, the  Protest was not only meant to end police brutality in Nigeria but all over Africa.You guys ",positive,0.0
Kogi State Government has commended the way the people of the State conducted themselves during the  protest; ,positive,0.0
"  WHO ORDERED THE SHOOTING OF PEACEFUL PROTESTERS AT LEKKI ON THE 20TH OF OCTOBER ,2020???  ",neutral,0.125
We finally found him. Fellow nigerian Let it be known that  kidnapped my brother for over 4 days and refuse him ,positive,0.0
Please donate and Fundraising for Oke Obi-Enadhuze's family,positive,0.0
"   I never lose, I either win or learn  - Nelson Mandela",positive,0.8
We need serious answers!!! Who gave the order??? ,neutral,-0.6510416666666665
The  protest was not hijacked. It was attacked.There is a huge difference.,neutral,0.4000000000000001
say hello to the NIGERIAN dream,neutral,0.0
" If you want to fire me, fire me make I die. I will never follow you to that station ",negative,0.0
"   We ve woken, never to sleep again.  A very poignant message to   Government.",negative,0.0
"  Our people in the diaspora going hard for us, the battle has not been won   ",negative,-0.2916666666666667
SARS officers are back on the streets ?  The government is actually a joke,negative,0.0
The trauma of it all. This why our parents never healed,negative,0.0
Nobody should make this MOVEMENT  ABOUT TRIBE! This is not about TRIBE!! WE ARE ALL ONE!!,negative,0.0
Another evidence.  rightly said the Soldiers that carried out  ca ,positive,0.2857142857142857
"  A huge  march has just kicked off in Brussels, Belgium.",positive,0.4000000000000001
"  You can also as well donate to  to help injured  protesters and their families, since you're feeling so ",positive,0.0
"  People protested, People died, nobody resigned, nobody was fired, SARS officers are back on the street. ",negative,0.0
Izuchi trying to take footage of the  shootings of  protesters was gunned down at the front of Makinde Poli ,negative,-0.15555555555555559
Yo!!!  we saw you giggling behind Tinubu during his interview. No problem. WHO ORDERED THE MASSACRE AT THE TOLL GATE,neutral,-0.4
"   Nigerians protest in Berlin, London   Punch Newspapers ",negative,0.0
"  Who ordered the shooting of peaceful protesters at Lekki toll gate on the 20th of October,2020??? We need answers!!! ",positive,0.125
We're closer than ever. Let's not get tired,positive,-0.4
Nigerians Protest In London Against Violence,positive,0.0
Yours truly at the  protests. Over now. Great to see the massive turnout. Thanks to  for the photo. http ,positive,0.3333333333333333
"  Pictures from the  march in Brussels, Belgium today. More protests are planned for the coming days. If your spir ",positive,0.5
Was Asiwaju Tinubu Chased out of his hotel in France today? This video speaks thousands ,positive,0.0
"   protesters across Nigeria were self-policing. People cleaned up after each exercise, sexual harassment was stamped ",negative,0.5
Thugs been transported in jeeps and buses in wuse2 Abuja this is why we can't stop    we move  ,positive,0.0
"  The officers that killed Jimoh Isiaq have not been prosecuted, the soldiers that left Bonny Camp ",negative,0.033333333333333326
Do not forget our heroes,positive,0.0
Jagaban spoke overnight but he was handed this receipt,negative,0.0
One set say I am homophobic another say I am LGBTQ supporter. A 10 minute production was done portraying me as enemy of I ,negative,0.0
"  BREAKING: After emptying their COVID19 palliatives warehouse, Calabar youths in Cross River gather in front of soldiers to ",negative,0.0
Look at them!Looking so harmlessSo beautiful and handsome!So sassy with plenty swags !So intelligent and pragmatic!Who ,positive,0.9
"  Plz RETWEET for the WORLD to see the level of impunity in this govt.The Acting MD of NDDC, Prof. Kemebradikumo Pondei who ",negative,0.0
"  Who ordered the shooting of peaceful protesters at Lekki on the 20th of October, 2020??? ",neutral,0.125
Some Nigerians mistook our disbandment of SARS as weakness   BuhariNorthern Govs opposed  FULANI-led Northe ,negative,0.0
"  Politics is local abi? The KNOWN Street Bosses in Lagos, the local bosses o, were caught unaware as the city was raided and ",negative,0.0
"  SARS has resumed work, so we also need to resume ours,  now!!!",positive,0.0
"  No WORD, just a RETWEET till we find the couple behind this evil act and rescue this little girl.A couple allegedly tied u ",negative,-0.421875
Banner drop in solidarity with the  revolt in  from the Black Autonomy Federation in,negative,-0.16666666666666666
Don t let them know our next move... Just act and let them know they messed with a smart thinking generation.  ,negative,0.10714285714285714
If Sars is still on the streets then we can t shut up! Our generation is noisy and we will keep screaming into your ears!,negative,0.0
Ex-DSS director: Senator s aides conveyed thugs who attacked  protesters | TheCable  https:/ ,negative,0.0
This is what we are fighting for. And this we will achieve. FRAME 2MoneyJagaban,positive,0.0
"  When the military (who re trained for war and to be brutal) teach the police how to relate with civilians, you get why Ni ",positive,-0.4875
I'm moved to tears rn. Protest continues in Central London. I love you guys. They are keeping the fire burning,positive,0.25
I just wanted to remind you of 20/10/20. Please never forget!!! I urge you to please always Retweet ,positive,0.0
protests might not be able to hold at some places in Nigeria but our brothers over seas are still moving! ,positive,0.625
Nigerians are hungry.But the government hid food items. I can't believe my eyes.It's pure evil ,negative,-0.39285714285714285
"  Hope everyone is ok today? Sending you all love and light . Stay strong, we are one Nigeria  ",positive,0.4583333333333333
Never have I been more certain that those girls were taken from Chibok. All the propaganda and lies just to ridicule,negative,0.20476190476190478
This serial killer is still at large. The government has said or done nothing.,negative,0.21428571428571427
Our power was that for one of the first times we were united around a single issue.  the world supported us because ,positive,0.08928571428571429
The attack on Rinu that Thursday night trended the whole night and ignited the rage of  globally.The attack o ,negative,0.2
Sanwo Olu said there were no deaths at Lekki toll gate but na missing person full TL.The president said SARS has been di ,negative,0.07499999999999998
Protestors in  discovered today a warehouse of Covid19 food aid in Lagos that was meant for people but is locked b ,negative,0.0
These heartless monsters are restlessly working on all sides to destroy anything relating to,negative,-0.2
Guys please stay at home. Enugu is rough,negative,-0.1
HEAR ME OUT: THEY LIED TO US.SARS ARE STILL OUT THERE!!!!WE CAN T THINK OF STOPPING NOW UNLESS WE LL SEE PEPPER!!!! DON ,negative,0.0
"   If you want to fire me, fire me make I die. I will never follow you to that station  ",negative,0.0
Shout out to  players who painted Europe with  goals in the past 7 days:  Osimhen  Nwankwo  Oshoala  ,negative,-0.25
The moment hoodlums began sharing their loot with beggers.,negative,0.0
This is Heartbreaking,negative,0.0
"   on German leading newspaper Spiegel.We will continue to push overseas, and embarrass our political class immensely",negative,0.0
A thread on what s happening in Nigeria at the moment,neutral,0.0
The police allowed lekki to be looted because of the  protest.,negative,0.0
Today my auntie and her family were on their way to a wedding because their daughter was supposed to be the little ,positive,-0.1875
"  7.Please, stay focused on using your voice. Listen to one another with humility. Many of us are praying really hard for you",positive,0.10416666666666666
I am so proud of my Generation... see people showed up.. we literally filled the streets of Dallas..,positive,0.6000000000000001
Why are they in meeting with osinbajo........ Why not the president?? ,negative,0.0
"  Sweetheart, Darling, Baby e.t.c ?End it abeg. While we're on this,  too.",negative,0.0
Asked about my future and they see death in my palm.They see blood and empty skullWhat could my offence be? Cos I design ,negative,-0.05
"A wise man sees failure as progress.A fool divorces his knowledge and misses the logic,And loses his soul in the process.",negative,0.027777777777777752
"  From today, I want to beg everybody here. If you ever see anyone being held by SARS/SWAT, please, stop and make sure they are safe",positive,0.5
Celebrities saying they did not see any bodies at lekki should pause. Eyewitness testimony is that soldiers shot people,negative,0.0
"  My father taught me that if you tell the truth, you won't have to remember what you said.",positive,0.0
Benue candlelight for victims of Lekki massacre.,positive,0.0
"  If only the victims of Lekki Massacre knew we'd moved on so fast, they'd have stayed at home ",negative,0.1
"  If It's True That Tinubu Run To France,Nigerians In France Should Look For Him And Take  Protest To The Place",negative,0.35
"  People died for us, the least you can do is trend a hashtag ",negative,-0.3
"  How do we tell Nigerians that the endsars  campaign is not just for them, it's for all of us Africans?",negative,0.0
  To all Nigerian Youths,neutral,0.0
We are not finish InshaAllah. ,positive,0.0
Wahala for who no sabi speak English this night oh ,negative,0.0
I still Urge all the Nigerians youths to be more energetic because we need more of protest,positive,0.5
Nigerian government  got it wrong! You don't mess with angry youths who are legitimately asking for their right,negative,-0.25357142857142856
protest still going on in Calabar. You can join protesters at the highway  FOR AWARENESS ,negative,0.0
Thank you   for your willingness to be vulnerable and share your experience with us tonight,positive,-0.5
"  12am Twitter, Lets Mark Attendance with ",neutral,0.0
All these hashtags we re tweeting are all so heartbreaking,negative,0.0
My heart goes out to my Nigerian brothers and sisters,positive,0.0
You're focused on making  protesters the scapegoat for a mess you created instead of asking yourself,negative,-0.175
Why did online protesters give up on the  movement? We had so many little wins. Why?,negative,0.2041666666666667
"   Nigeria on a mission they can't finish, shooting on armed civilians, this the worst of its kind",negative,-0.2
Nigeria s man inhumanity to man!,negative,0.0
These missing people are mainly in the hands of Nigeria security agencies,negative,-0.016666666666666677
" With the kind of comment, this SHOWS how are presumed leaders think ",neutral,0.6
"  Who ordered the shooting of peaceful protesters at lekki on the 20th of October, 2020? Where are the CCTV footages ",negative,0.125
We elected a murderer as a president.,negative,0.0
"  We had our commercial break , we didn t lose focus. Now we are back. ",positive,0.0
UPDATE: Currently happening at Oworo in Lagos...Youths were seen hanging banners to educate the public and the police ,positive,0.0
I had a few things to say at the  protest in Birmingham tonight,neutral,-0.2
Can't be in vain!,positive,0.0
