username,screen_name,acct_desc,tweet_text,location,following,followers,user_created,tweet_created,retweet_count,favourite_count,favourited,retweeted
👑Omarrr,kvng_umar,❤️ @manutd, Network issues #FUOLMS,"Lagos, Nigeria",798,175,2015-12-25,2020-10-10,0,0,False,False
👑Omarrr,kvng_umar,❤️ @manutd, It's okay #FUOLMS,"Lagos, Nigeria",798,175,2015-12-25,2020-10-10,0,0,False,False
👑Omarrr,kvng_umar,❤️ @manutd, It wasn't bad #FUOLMS,"Lagos, Nigeria",798,175,2015-12-25,2020-10-10,0,0,False,False
thatligthskinnedguy,KelixIts,"i sleep wake up eat, bath at times 
watch anime play game.
🔃"," It went well, especially the courses where by the lectures made use of audio to support the pdf file sent to the LMS #FUOLMS",None,226,50,2019-05-04,2020-10-10,0,0,False,False
ذكرةالله ❤,adhikrah,"D.H.I.K.R.A.H.❤
.
.
Novel lover 📚
.
.
Muslimah🌼🌼
.
.
Accountant 📖
.
.
Capricorn♑", It was fair. #FUOLMS,Earth,254,259,2016-07-03,2020-10-10,0,0,False,False
AJIROBA MARIAM ABIMBOLA,AjirobaMariam,I am who I am, It was okay #FUOLMS,"Lagos, Nigeria",47,37,2019-10-14,2020-10-10,0,1,False,False
fai_zah,phahee_zhar,"¶My bio doesn't define who i am in real life just stick to the twitter me¶ i follow back¶¶.
IG: threexixty", Aside the clumsiness and disappearing of previous chats when it logs one off everything else seemed pretty much okay. #FUOLMS,"Lagos, Nigeria",386,166,2019-07-27,2020-10-10,0,2,False,False
Taheersm,taheertaheersm,Creative. IG - https://t.co/OJYSaKCE5g, It worked well #FUOLMS,None,175,134,2019-07-08,2020-10-10,0,1,False,False
The Millienial Muslimah,zahynarbb,Blogger || Lifestyle  || Self Help || Books Emotional Wellness, Not too bad #FUOLMS,"Lagos, Nigeria",241,209,2018-03-31,2020-10-10,0,0,False,False
Callmemoji,zeethemama,"Just a girl , iCons forever till eternity, TeamLaycon", It was not that bad #FUOLMS,"Abeokuta, Nigeria",99,108,2019-02-28,2020-10-10,0,0,False,False
A M I N A T,Meenart_,None, Not bad #FUOLMS,"Lagos, Nigeria",175,153,2019-06-02,2020-10-09,0,0,False,False
Ruthie❣️❣️❣️,Ruthie_1107,IG: I_m_ruthie// olaniyan bose ruth july 11 chic, Not that bad #FUOLMS,None,156,61,2014-12-10,2020-10-09,0,0,False,False
Nureeyah,Nureeya00500881,"Muslimah ,", It worked well except network issues #FUOLMS,"Port Harcourt, Nigeria",53,10,2020-09-24,2020-10-09,0,0,False,False
The targent,thorlahney,None, Aside from the logging in and out it wasn't that bad #FUOLMS,None,103,33,2019-07-06,2020-10-09,0,0,False,False
reemah,r73793908,None, It worked well for me ...just the network issue #FUOLMS,None,28,0,2018-05-06,2020-10-09,0,0,False,False
Adesewa,Adesewa04,None, It worked well aside from the clumsiness... showing when someone logs in or off because it interfere with lectures #FUOLMS,"Osogbo, Nigeria",7,5,2020-09-24,2020-10-09,0,0,False,False
berryola,berryola2,None, It’s perfectly ok #FUOLMS,None,53,10,2020-06-08,2020-10-09,0,0,False,False
Ennieeturnn,Ennieeturnn1,"Masseuse🌸, pedicurist🦶🏻& manicurist💅🏼, model, Beauty Queen 👸", It worked well for me except for network problem #FUOLMS,Osun State,96,39,2020-02-03,2020-10-09,0,0,False,False
Abubakry Mohammed Teniola,tohaberry,"content creator 
Model, 
Actor 
Front-End Developer(js,css,html5)
i.g:@tohaberry","How well did the LMS  system work for you?
Leave an answer and remember to use the hash tag #FUOLMS",lagos,366,211,2011-07-29,2020-10-09,1,17,False,False
Matrickenzy,matrickenzy,None, It's fair enough #FUOHOSTEL,None,14,1,2019-10-25,2020-10-15,0,0,False,False
Call me Fathia❤🌹😎,sparkleon24th,"♠️Muslimah🌙
♥️Allah first♥️
Not your regular kinda girl😘😉
Proudly Nigerian💕💕Ig:Fathiatayo.xo", Hostel service is fair. At least we survived. #FUOHOSTEL,"Lagos, Nigeria",449,337,2018-10-03,2020-10-13,0,0,False,False
Oyindamola,Ohyindarh,None, It's fair  #FUOHOSTEL,"Lagos, Nigeria",62,3,2016-07-15,2020-10-12,0,0,False,False
Atoba Mubaraq,AtobaMubaraq,An easy going person and a dog lover, Not all the rooms are okay. Then the bathrooms and toilets need repairs #FUOHOSTEL,None,92,6,2020-01-08,2020-10-12,0,1,False,False
Enny,enny__tan,Music & Vacations, Fair #FUOHOSTEL,"Lagos, Nigeria",1055,1145,2018-01-09,2020-10-12,0,0,False,False
ROADMAN,jerziieSZN,Youngin' with an Addiction. 😎 Football & Music ⚡. |Content Creator and all round Social Entrepreneur|, Can be improved upon. #FUOHOSTEL,"in d Future already, bruh....",1068,657,2019-10-20,2020-10-12,0,0,False,False
Haauwaarh🌹,Haauwaarh_,None, Seems okay to some extent....but some of the bathrooms need to be fixed #FUOHOSTEL,None,145,88,2017-10-25,2020-10-12,0,0,False,False
emmanuel adeleke,eadeleke2000,"Bio loading...
Follow up. Let get to know one another. I assure, you won't regret it."," It's okay but they just gotta fix some of the bathrooms.
#FUOHOSTEL","1294 Herkimer street, Brooklyn",294,32,2015-05-08,2020-10-12,0,0,False,False
_the.maryam,themaryam13,"Just for the fun of it 🍻
IG: _the.maryam", Not too poor #FUOHOSTEL,None,86,58,2020-09-07,2020-10-12,0,0,False,False
Adesola🥰,__Aaisha_,IG:IG:_tz_tania & voguesbyeeshah, Fair #FUOHOSTEL,"Lagos, Nigeria",87,66,2019-07-29,2020-10-12,0,0,False,False
🚀Mide🚀,Mide34777787,None, It is not bad #FUOHOSTEL,Nigeria,117,39,2018-10-02,2020-10-12,0,1,False,False
Yusbakly,yusbakly,Blogger..., #FUOHOSTEL fair,"Abeokuta, Nigeria",1200,115,2018-10-07,2020-10-12,0,1,False,False
Maryam,_maryambash,Youtuber✨, Pretty good #FUOHOSTEL,Nigeria,45,14,2019-11-08,2020-10-12,0,0,False,False
Ligali#mali#,ligali_maryam,Simple girl /withprinciples/, It's okay and can still be improved #FUOHOSTEL,"Lagos, Nigeria",343,245,2019-03-18,2020-10-12,0,0,False,False
Nifty😉😉,Omowonu40616764,Never judge a book by its cover, It's okay to some extent #FUOHOSTEL,"Oyo, Nigeria",69,5,2020-05-03,2020-10-12,0,1,False,False
Abdulqadr Ibrahim,abdulqadr31,None, Manageable #FUOHOSTEL,None,210,106,2016-01-29,2020-10-11,0,2,False,False
Shadow_Walker,raji_bayonle,None, Poor #FUOHOSTEL,"Ibadan, Nigeria",53,23,2016-10-21,2020-10-11,0,0,False,False
Zainab,ban_iaz,"proud Muslimah🧕
Accountant
October 4
ig@ ban_iaz_"," To some extent, it is ok #FUOHOSTEL","Lagos, Nigeria",57,22,2019-11-15,2020-10-11,0,0,False,False
Boujee Pheedheart,AdesanyaNafisa1,"Cryptotrader
Tairus
Boujee Bad and Thick"," It's not that bad. Cool
#FUOHOSTEL",Nigeria,73,18,2020-10-11,2020-10-11,0,0,False,False
Field Marshal,tweet_sadiq,"Military , Real Madrid , Ronaldo , Politics  !", Not bad #FUOHOSTEL,"Kaduna, Nigeria",502,386,2015-02-21,2020-10-11,0,1,False,False
waheed remtech,remtech_20219,None, The service is ok #FUOHOSTEL,None,34,1,2014-09-12,2020-10-11,0,0,False,False
thatligthskinnedguy,KelixIts,"i sleep wake up eat, bath at times 
watch anime play game.
🔃", The maintainance is actually top-notch in terms of average consistency #FUOHOSTEL,None,226,51,2019-05-04,2020-10-10,0,2,False,False
ذكرةالله ❤,adhikrah,"D.H.I.K.R.A.H.❤
.
.
Novel lover 📚
.
.
Muslimah🌼🌼
.
.
Accountant 📖
.
.
Capricorn♑", Not too comfortable but fair. #FUOHOSTEL,Earth,254,261,2016-07-03,2020-10-10,0,1,False,False
Taheersm,taheertaheersm,Creative. IG - https://t.co/OJYSaKCE5g, It's okay #FUOHOSTEL,None,175,134,2019-07-08,2020-10-10,0,1,False,False
fai_zah,phahee_zhar,"¶My bio doesn't define who i am in real life just stick to the twitter me¶ i follow back¶¶.
IG: threexixty", It's seems fine to some extent #FUOHOSTEL,"Lagos, Nigeria",386,167,2019-07-27,2020-10-10,0,0,False,False
reemah,r73793908,None, Not bad #FUOHOSTEL,None,28,0,2018-05-06,2020-10-10,0,0,False,False
The Millienial Muslimah,zahynarbb,Blogger || Lifestyle  || Self Help || Books Emotional Wellness, Manageable #FUOHOSTEL,"Lagos, Nigeria",241,210,2018-03-31,2020-10-10,0,0,False,False
Callmemoji,zeethemama,"Just a girl , iCons forever till eternity, TeamLaycon", Just there #FUOHOSTEL,"Abeokuta, Nigeria",99,108,2019-02-28,2020-10-10,0,1,False,False
Ruthie❣️❣️❣️,Ruthie_1107,IG: I_m_ruthie// olaniyan bose ruth july 11 chic, They are really trying #FUOHOSTEL,None,156,61,2014-12-10,2020-10-09,0,0,False,False
A M I N A T,Meenart_,None, Just there #FUOHOSTEL,"Lagos, Nigeria",175,154,2019-06-02,2020-10-09,0,0,False,False
The targent,thorlahney,None, Sometimes its better sometimes its annoying #FUOHOSTEL,None,103,33,2019-07-06,2020-10-09,0,0,False,False
Adesewa,Adesewa04,None, Not very okay but fine #FUOHOSTEL,"Osogbo, Nigeria",7,5,2020-09-24,2020-10-09,0,0,False,False
Ennieeturnn,Ennieeturnn1,"Masseuse🌸, pedicurist🦶🏻& manicurist💅🏼, model, Beauty Queen 👸", It’s not so bad #FUOHOSTEL,Osun State,96,39,2020-02-03,2020-10-09,0,0,False,False
berryola,berryola2,None, It’s fine and conducive #FUOHOSTEL,None,53,10,2020-06-08,2020-10-09,0,0,False,False
Abubakri🇳🇬🇳🇬Ireayo,King_rahno,Data scientist💻| pythonista |Young black Muslim👳🏾‍♀️| In 💙with @chelseafc | blogger| Not a feminist ❌ |, Terrible ☹️ #Fuohostel,Somewhere in the space,581,717,2014-12-27,2020-10-09,0,0,False,False
Abubakry Mohammed Teniola,tohaberry,"content creator 
Model, 
Actor 
Front-End Developer(js,css,html5)
i.g:@tohaberry","How is the FUO Hostel services ?  
Leave an answer and remember to use the hash tag #FUOHOSTEL",lagos,366,213,2011-07-29,2020-10-09,0,12,False,False
Matrickenzy,matrickenzy,None, Fair enough #FUOHEALTH,None,14,1,2019-10-25,2020-10-15,0,0,False,False
Call me Fathia❤🌹😎,sparkleon24th,"♠️Muslimah🌙
♥️Allah first♥️
Not your regular kinda girl😘😉
Proudly Nigerian💕💕Ig:Fathiatayo.xo", Just fair.There's room for improvement #FUOHEALTH,"Lagos, Nigeria",449,337,2018-10-03,2020-10-13,0,1,False,False
Sir Boluwatife ⭕,iambammo,"A Proud Muslim,
Addicted to Arsenal FC 😍,
Burna Boy Freak 💯,
Political Scientist", No problem #FUOHEALTH,"Osun, Nigeria",686,307,2015-02-14,2020-10-12,0,0,False,False
Oyindamola,Ohyindarh,None," It's not bad, but still need improvement #FUOHEALTH","Lagos, Nigeria",62,3,2016-07-15,2020-10-12,0,0,False,False
Atoba Mubaraq,AtobaMubaraq,An easy going person and a dog lover, Well. Average. #FUOHEALTH,None,92,6,2020-01-08,2020-10-12,0,1,False,False
Enny,enny__tan,Music & Vacations, No problem #FUOHEALTH,"Lagos, Nigeria",1055,1145,2018-01-09,2020-10-12,0,0,False,False
ROADMAN,jerziieSZN,Youngin' with an Addiction. 😎 Football & Music ⚡. |Content Creator and all round Social Entrepreneur|," None, whatsoever. #FUOHEALTH","in d Future already, bruh....",1068,657,2019-10-20,2020-10-12,0,0,False,False
Haauwaarh🌹,Haauwaarh_,None, The health workers there are really trying #FUOHEALTH,None,145,88,2017-10-25,2020-10-12,0,0,False,False
Adetayo Balogun,AdetayoBalogun4,None, It’s okay #FUOHEALTH,None,53,5,2020-09-14,2020-10-12,0,0,False,False
_the.maryam,themaryam13,"Just for the fun of it 🍻
IG: _the.maryam", Not bad #FUOHEALTH,None,86,58,2020-09-07,2020-10-12,0,0,False,False
Adesola🥰,__Aaisha_,IG:IG:_tz_tania & voguesbyeeshah, Fair #FUOHEALTH,"Lagos, Nigeria",87,66,2019-07-29,2020-10-12,0,0,False,False
Maryam,_maryambash,Youtuber✨, No problem #FUOHEALTH,Nigeria,45,14,2019-11-08,2020-10-12,0,0,False,False
Yusbakly,yusbakly,Blogger..., #FUOHEALTH poor documentation,"Abeokuta, Nigeria",1200,115,2018-10-07,2020-10-12,0,1,False,False
Ligali#mali#,ligali_maryam,Simple girl /withprinciples/," Fair, but there's a lot to be improved #FUOHEALTH","Lagos, Nigeria",343,245,2019-03-18,2020-10-12,0,0,False,False
Nifty😉😉,Omowonu40616764,Never judge a book by its cover, No issues #FUOHEALTH,"Oyo, Nigeria",69,5,2020-05-03,2020-10-12,0,1,False,False
Shadow_Walker,raji_bayonle,None, Fair #FUOHEALTH,"Ibadan, Nigeria",53,23,2016-10-21,2020-10-11,0,1,False,False
Zainab,ban_iaz,"proud Muslimah🧕
Accountant
October 4
ig@ ban_iaz_"," It is fair, but they need to improve #FUOHEALTH","Lagos, Nigeria",57,22,2019-11-15,2020-10-11,0,1,False,False
Boujee Pheedheart,AdesanyaNafisa1,"Cryptotrader
Tairus
Boujee Bad and Thick"," Fair
#FUOHEALTH",Nigeria,73,18,2020-10-11,2020-10-11,0,0,False,False
Rafeeharh😍😍,Ardeekayla,"🇳🇬 Beauty |Muslim|Food lover|Cake lover| Always remember to smile 😊😊
I.G:@_feeharh", It's okay #FUOHEALTH,Earth,433,369,2016-12-09,2020-10-10,0,1,False,False
Ibrahim Aisha,Ibrahim86196636,None, It's pretty okay #FUOHEALTH,None,24,1,2020-05-17,2020-10-10,0,0,False,False
ذكرةالله ❤,adhikrah,"D.H.I.K.R.A.H.❤
.
.
Novel lover 📚
.
.
Muslimah🌼🌼
.
.
Accountant 📖
.
.
Capricorn♑", They're trying but they should be more improvements. #FUOHEALTH,Earth,254,261,2016-07-03,2020-10-10,0,2,False,False
thatligthskinnedguy,KelixIts,"i sleep wake up eat, bath at times 
watch anime play game.
🔃", No issue at all #FUOHEALTH,None,226,51,2019-05-04,2020-10-10,0,0,False,False
Otunba Ramzy 🇳🇬,Yungramzy,"PR and Marketing Enthusiast || Half gryffindor🐆 || Half Slytherin 🐍
Chelsea fan till the end", Its not bad #FUOHEALTH,"Lagos,Nigeria",1132,1163,2012-07-30,2020-10-10,0,1,False,False
fai_zah,phahee_zhar,"¶My bio doesn't define who i am in real life just stick to the twitter me¶ i follow back¶¶.
IG: threexixty", Fair enough #FUOHEALTH,"Lagos, Nigeria",386,167,2019-07-27,2020-10-10,0,1,False,False
Taheersm,taheertaheersm,Creative. IG - https://t.co/OJYSaKCE5g, It's fine #FUOHEALTH,None,175,134,2019-07-08,2020-10-10,0,1,False,False
reemah,r73793908,None, Okay #FUOHEALTH,None,28,0,2018-05-06,2020-10-10,0,1,False,False
The Millienial Muslimah,zahynarbb,Blogger || Lifestyle  || Self Help || Books Emotional Wellness, No issues #FUOHEALTH,"Lagos, Nigeria",241,210,2018-03-31,2020-10-10,0,0,False,False
Callmemoji,zeethemama,"Just a girl , iCons forever till eternity, TeamLaycon", It’s okay #FUOHEALTH,"Abeokuta, Nigeria",99,108,2019-02-28,2020-10-10,0,0,False,False
Ruthie❣️❣️❣️,Ruthie_1107,IG: I_m_ruthie// olaniyan bose ruth july 11 chic, Okay #FUOHEALTH,None,156,61,2014-12-10,2020-10-09,0,0,False,False
A M I N A T,Meenart_,None, It's okay #FUOHEALTH,"Lagos, Nigeria",175,154,2019-06-02,2020-10-09,0,0,False,False
The targent,thorlahney,None, Not that bad #FUOHEALTH,None,103,33,2019-07-06,2020-10-09,0,0,False,False
Abubakri🇳🇬🇳🇬Ireayo,King_rahno,Data scientist💻| pythonista |Young black Muslim👳🏾‍♀️| In 💙with @chelseafc | blogger| Not a feminist ❌ |, Fair    #FUOHEALTH,Somewhere in the space,581,717,2014-12-27,2020-10-09,0,0,False,False
Adesewa,Adesewa04,None, None. It's pretty good #FUOHEALTH,"Osogbo, Nigeria",7,5,2020-09-24,2020-10-09,0,0,False,False
Ennieeturnn,Ennieeturnn1,"Masseuse🌸, pedicurist🦶🏻& manicurist💅🏼, model, Beauty Queen 👸", It’s okay #FUOHEALTH,Osun State,96,39,2020-02-03,2020-10-09,0,0,False,False
berryola,berryola2,None, It’s fine to me #FUOHEALTH,None,53,10,2020-06-08,2020-10-09,0,0,False,False
Abubakry Mohammed Teniola,tohaberry,"content creator 
Model, 
Actor 
Front-End Developer(js,css,html5)
i.g:@tohaberry",". What challenges do you face with FUO health services? 
Leave an answer and remember to use the hash tag #FUOHEALTH",lagos,366,214,2011-07-29,2020-10-09,0,14,False,False
Matrickenzy,matrickenzy,None, It's really expensive to begin with. Network failure is a pain in the *** #FUOONLINEEXAM,None,14,1,2019-10-25,2020-10-15,0,0,False,False
Call me Fathia❤🌹😎,sparkleon24th,"♠️Muslimah🌙
♥️Allah first♥️
Not your regular kinda girl😘😉
Proudly Nigerian💕💕Ig:Fathiatayo.xo", It was okay but the consumption of data and it's also time consuming #FUOONLINEEXAM,"Lagos, Nigeria",449,337,2018-10-03,2020-10-13,0,1,False,False
Sir Boluwatife ⭕,iambammo,"A Proud Muslim,
Addicted to Arsenal FC 😍,
Burna Boy Freak 💯,
Political Scientist", It was good #FUOONLINEEXAM,"Osun, Nigeria",686,307,2015-02-14,2020-10-12,0,0,False,False
Oyindamola,Ohyindarh,None," It was okay, but the consumption of data was too much #FUOONLINEEXAM","Lagos, Nigeria",62,3,2016-07-15,2020-10-12,0,0,False,False
Enny,enny__tan,Music & Vacations, It’s was okay #FUOONLINEEXAM,"Lagos, Nigeria",1055,1145,2018-01-09,2020-10-12,0,0,False,False
ROADMAN,jerziieSZN,Youngin' with an Addiction. 😎 Football & Music ⚡. |Content Creator and all round Social Entrepreneur|, It was a welcome development. I can't complain. #FUOONLINEEXAM,"in d Future already, bruh....",1068,657,2019-10-20,2020-10-12,0,0,False,False
Haauwaarh🌹,Haauwaarh_,None, It went well....Alhamdulillah the school decided well due to the pandemic #FUOONLINEEXAM,None,145,88,2017-10-25,2020-10-12,0,0,False,False
Adetayo Balogun,AdetayoBalogun4,None, It was fine #FUOONLINEEXAM,None,53,5,2020-09-14,2020-10-12,0,0,False,False
_the.maryam,themaryam13,"Just for the fun of it 🍻
IG: _the.maryam", Pretty nice but the app consumes alot of data #FUOONLINEEXAM,None,86,58,2020-09-07,2020-10-12,0,0,False,False
Maryam,_maryambash,Youtuber✨, It went well #FUOONLINEEXAM,Nigeria,45,14,2019-11-08,2020-10-12,0,0,False,False
🚀Mide🚀,Mide34777787,None, It was okay but the consumption of data and printing of the exam booklets were the major challenge #FUOONLINEEXAM,Nigeria,117,39,2018-10-02,2020-10-12,0,1,False,False
Yusbakly,yusbakly,Blogger..., #FUOONLINEEXAM very good,"Abeokuta, Nigeria",1200,115,2018-10-07,2020-10-12,0,0,False,False
Shadow_Walker,raji_bayonle,None, O wa pa #FUOONLINEEXAM,"Ibadan, Nigeria",53,23,2016-10-21,2020-10-11,0,1,False,False
Zainab,ban_iaz,"proud Muslimah🧕
Accountant
October 4
ig@ ban_iaz_", It was ok but the zoom app consumes alot of data and network was also a major problem #FUOONLINEEXAM,"Lagos, Nigeria",57,22,2019-11-15,2020-10-11,0,1,False,False
Boujee Pheedheart,AdesanyaNafisa1,"Cryptotrader
Tairus
Boujee Bad and Thick"," I was actually thinking it will turn out really bad but it was really good and not that stressful for me
#FUOONLINEEXAM",Nigeria,73,18,2020-10-11,2020-10-11,0,0,False,False
Field Marshal,tweet_sadiq,"Military , Real Madrid , Ronaldo , Politics  !", Great 💯 #FUOONLINEEXAM,"Kaduna, Nigeria",502,386,2015-02-21,2020-10-11,0,1,False,False
waheed remtech,remtech_20219,None," Is not easy at all, issues on network and data consumption. But the idea is ok and welcome development #FUOONLINEEXAM",None,34,1,2014-09-12,2020-10-11,0,0,False,False
Rafeeharh😍😍,Ardeekayla,"🇳🇬 Beauty |Muslim|Food lover|Cake lover| Always remember to smile 😊😊
I.G:@_feeharh", Great #FUOONLINEEXAM,Earth,433,369,2016-12-09,2020-10-10,0,1,False,False
1ne,awwalthe1stt,None, It went well #FUOONLINEEXAM,Abuja,1097,1129,2018-08-06,2020-10-10,0,0,False,False
ذكرةالله ❤,adhikrah,"D.H.I.K.R.A.H.❤
.
.
Novel lover 📚
.
.
Muslimah🌼🌼
.
.
Accountant 📖
.
.
Capricorn♑"," It was okay but the consumption of data, printing of exam answer sheet and network were a major challenge. #FUOONLINEEXAM",Earth,254,261,2016-07-03,2020-10-10,0,1,False,False
thatligthskinnedguy,KelixIts,"i sleep wake up eat, bath at times 
watch anime play game.
🔃"," It was a good one, the school took the best PATH to avoid delay due to the pandemic #FUOONLINEEXAM",None,226,51,2019-05-04,2020-10-10,0,1,False,False
fai_zah,phahee_zhar,"¶My bio doesn't define who i am in real life just stick to the twitter me¶ i follow back¶¶.
IG: threexixty"," It turned out pretty much what we expected but consumes a lot of data, due to the app that was used for it. Not to talk about the stress of going to print answer booklets for different examination dates. #FUOONLINEEXAM","Lagos, Nigeria",386,167,2019-07-27,2020-10-10,0,1,False,False
Taheersm,taheertaheersm,Creative. IG - https://t.co/OJYSaKCE5g, It was fine #FUOONLINEEXAM,None,175,134,2019-07-08,2020-10-10,0,0,False,False
reemah,r73793908,None, Atimes stressful due to network issue #FUOONLINEEXAM,None,28,0,2018-05-06,2020-10-10,0,0,False,False
The Millienial Muslimah,zahynarbb,Blogger || Lifestyle  || Self Help || Books Emotional Wellness, Great #FUOONLINEEXAM,"Lagos, Nigeria",241,210,2018-03-31,2020-10-10,0,1,False,False
